profile,Memset | Total Time (ns),Memset | Instances,Memset | Bandwidth (GB/s),HtoD | Total Time (ns),HtoD | Instances,HtoD | Bandwidth (GB/s),DtoH | Total Time (ns),DtoH | Instances,DtoH | Bandwidth (GB/s),DtoD | Total Time (ns),DtoD | Instances,DtoD | Bandwidth (GB/s)
profile_gsplat_os-10_efc-False_eic-False,514052705.0,364322.0,253.58331718923648,22102141941.0,150364.0,17.83168857950825,4611674135.0,168264.0,1.8817183812142875,2648239434.0,167388.0,300.3926826127006
profile_gsplat_os-10_efc-False_eic-True,528469646.0,364322.0,245.75063201264734,294052191.0,1169.0,13.635560851848915,1733621602.0,168266.0,5.0070398649774095,2646525556.0,167388.0,301.38489862971113
profile_gsplat_os-10_efc-True_eic-False,1477690668.0,1170291.0,84.30444549305362,25690133803.0,150364.0,15.315798016982402,3035279336.0,506249.0,2.644084239566674,745420101.0,219386.0,206.04303110280625
profile_gsplat_os-10_efc-True_eic-True,1488723896.0,1170291.0,82.97148001445125,219636503.0,1169.0,15.274798160486101,1333979055.0,506249.0,6.017278221058725,743982628.0,219386.0,205.95026018672036
profile_gsplat_os-2_efc-False_eic-False,575340472.0,364322.0,325.8247118203775,20893119920.0,150364.0,18.912809509782395,2144215245.0,168270.0,4.527044155028381,4668917841.0,167388.0,318.3767523511665
profile_gsplat_os-2_efc-False_eic-True,132174954.0,95514.0,215.86036129053616,367105809.0,1169.0,13.736313870206287,1605291122.0,55406.0,5.247770954781372,3693593794.0,70477.0,325.2716099544107
profile_gsplat_os-2_efc-True_eic-True,1554567082.0,1170291.0,143.75101833785,265802642.0,1169.0,14.603253161042693,2017277783.0,506257.0,4.240171204522705,1389807533.0,219386.0,249.79064144919985
