profile,Memset | Total Time (ns),Memset | Instances,Memset | Bandwidth (GB/s),HtoD | Total Time (ns),HtoD | Instances,HtoD | Bandwidth (GB/s),DtoH | Total Time (ns),DtoH | Instances,DtoH | Bandwidth (GB/s),DtoD | Total Time (ns),DtoD | Instances,DtoD | Bandwidth (GB/s),GPU | Utilization (%),GPU | Peak VRAM (MB)
profile_gsplat_s-bicycle,1700906471.0,1170280.0,214.43005807460415,573627223.0,1219.0,10.17909303791881,6311762595.0,193252.0,1.6117207429599147,7667400724.0,245405.0,317.96404871443104,55.83271917184855,
profile_gsplat_s-bonsai,1677149550.0,1170691.0,123.02288761309329,655077497.0,1769.0,11.376342063540612,8032301671.0,193460.0,1.6295304856709234,2691135092.0,246601.0,281.0185687753649,64.08763885507805,
profile_gsplat_s-counter,1693072442.0,1170453.0,167.94904518090314,411686228.0,1474.0,14.998639769897766,4309895514.0,193334.0,2.8862684964385426,2582393760.0,245859.0,277.503149063139,67.09220722185373,
profile_gsplat_s-flowers,,,,,,,,,,,,,,
profile_gsplat_s-garden,1839357787.0,1170254.0,279.0415113642053,418723970.0,1169.0,14.417401430350406,1996330707.0,193231.0,5.363680190087864,8165716140.0,245311.0,321.42116876646656,85.19082660944434,
profile_gsplat_s-kitchen,1850702975.0,1170623.0,268.40524453579593,538718129.0,1694.0,14.19256625016976,3022716221.0,193424.0,4.429767943803283,4308399310.0,246379.0,302.54550034244613,75.1604068027664,
profile_gsplat_s-room,1624258532.0,1170751.0,127.47297558908559,526059382.0,1874.0,14.761652295747858,4397211286.0,193492.0,3.002670332680484,2538057402.0,246823.0,279.83350628686844,65.91807575588568,
profile_gsplat_s-stump,1683353828.0,1169914.0,157.94941576834077,347474904.0,829.0,14.187031602144135,1924657565.0,193033.0,5.113161756647344,7323109008.0,244571.0,320.4495161571955,79.97724111632807,
profile_gsplat_s-treehill,,,,,,,,,,,,,,
